order_id,order_date,customer_id,region,category,product,sales,quantity,discount,profit
1001,2024-01-05,C001,North,Technology,Laptop,1200,2,0.10,300
1002,2024-01-06,C002,South,Furniture,Chair,450,5,0.05,80
1003,2024-01-07,C003,East,Office Supplies,Printer Paper,200,10,0.00,50
1004,2024-01-08,C004,West,Technology,Monitor,800,3,0.15,120
1005,2024-01-09,C001,North,Furniture,Desk,650,2,0.20,-50
1006,2024-01-10,C005,South,Technology,Mouse,150,8,0.05,40
1007,2024-01-11,C003,East,Office Supplies,Notebook,300,15,0.00,90
1008,2024-01-12,C006,West,Furniture,Sofa,2000,1,0.25,-200
1009,2024-01-13,C002,North,Technology,Keyboard,400,6,0.10,100
1010,2024-01-14,C007,South,Office Supplies,Pens,120,20,0.00,30
1011,2024-02-01,C004,East,Technology,Tablet,900,2,0.10,220
1012,2024-02-03,C006,West,Furniture,Bookshelf,700,2,0.15,60
1013,2024-02-05,C008,North,Office Supplies,Stapler,80,12,0.00,20
1014,2024-02-06,C005,South,Technology,Headphones,500,4,0.05,110
1015,2024-02-08,C009,East,Furniture,Bed,1800,1,0.20,-100
